"ZCTA5CE10","pc_park"
"96001",29.931
"96002",5.17
"96003",53.46
"96006",49.375
"96007",6.728
"96008",6.323
"96009",52.894
"96010",99.052
"96011",49.276
"96013",27.105
"96014",29.083
"96015",71.115
"96016",62.625
"96017",50.922
"96019",2.596
"96020",66.217
"96021",1.848
"43788",0.039
"23093",1.707
"23102",4.607
"49953",36.685
"49955",0.712
"23103",0.394
"43793",8.006
"23106",0
"23108",19.832
"49958",25.933
"43802",24.233
"49959",4.304
"49960",27.957
"23109",0.037
"49961",82.163
"23110",3.863
"43804",0
"43805",0
"43811",32.097
"49962",5.11
"49963",1.671
"49965",15.899
"23111",2.251
"49967",80.551
"43812",24.831
"49968",41.93
"37723",17.179
"37724",37.452
"33825",4.116
"33827",23.841
"37725",10.675
"37726",0.369
"37727",53.724
"37729",25.292
"37730",1.115
"37731",2.693
"37732",0
"37733",28.889
"33830",3.976
"37737",6.542
"33834",13.382
"37738",89.403
"33837",0.099
"37742",6.694
"33838",0.982
"33839",1.099
"33841",3.18
"37743",24.143
"33843",23.513
"37745",0.039
"33844",16.678
"33847",0.491
"33848",0
"33849",20.544
"33850",1.654
"02651",36.035
"02652",43.309
"02653",8.682
"02655",6.195
"02657",3.465
"02659",21.738
"02660",9.547
"02663",17.137
"02664",5.675
"02666",64.839
"02667",39.772
"02668",50.536
"02669",0.035
"02670",11.413
"02671",10.937
"02672",0.444
"02673",15.966
"02675",16.614
"02702",35.627
"70514",0.472
"75182",3.249
"70515",0
"80504",6.131
"70516",0
"80510",86.892
"80511",0
"75189",0.392
"80512",82.225
"75845",24.962
"75846",0
"75847",44.857
"75848",0
"75849",0
"75850",2.312
"75851",0.304
"75852",0
"75853",3.1
"75855",0.863
"75856",3.733
"75858",38.819
"75859",0
"75860",0.036
"75861",12.622
"75862",0.009
"75901",2.749
"48603",7.429
"48604",11.862
"48607",2.011
"42071",1.649
"42076",6.994
"48609",20.742
"42078",0
"42079",0.086
"48610",44.722
"42081",2.191
"42082",16.343
"48611",0.522
"42083",0
"42084",0
"42085",0
"42086",3.376
"42087",0.184
"48612",9.659
"48613",44.87
"48614",19.956
"42088",0
"48615",2.312
"48616",1.62
"48617",2.374
"48618",10.057
"27407",4.705
"27408",4.655
"27409",0.795
"27410",9.03
"27455",16.239
"27501",0.061
"27502",10.367
"31820",0.843
"27503",24.232
"31821",14.506
"27504",0.061
"31822",14.078
"31823",3.488
"27505",1.637
"31824",0.467
"27507",2.448
"27508",0
"27509",15.816
"31825",3.331
"27510",2.324
"31826",3.92
"31827",5.958
"31829",5.54
"27511",6.451
"31830",18.787
"31831",0.011
"31832",3.613
"27513",4.592
"27514",2.214
"31833",2.146
"31836",3.101
"27516",3.695
"31901",12.602
"41390",0
"41397",0
"41408",0
"41421",0
"41425",0.027
"41464",0
"41465",0
"41472",8.109
"41501",0.775
"41503",0.065
"41512",0.36
"41513",0.016
"41514",0
"41517",0.152
"41519",0
"41522",2.455
"41524",8.567
"41526",0
"41527",0
"41528",0
"41531",0
"72014",0
"73430",11.094
"84518",33.003
"73432",0
"84520",13.44
"84521",34.009
"84522",21.513
